"Date","Price","Open","High","Low","Vol.","Change %"
"2025-4-30","1,903.22","1,891.97","1,910.24","1,886.41","1.17B","0.84%"
"2025-4-29","1,887.43","1,888.95","1,900.32","1,883.68","1.09B","-0.27%"
"2025-4-28","1,892.47","1,911.15","1,911.15","1,887.50","1.14B","-0.66%"
"2025-4-25","1,905.12","1,896.76","1,918.12","1,895.72","1.35B","0.91%"
"2025-4-24","1,887.88","1,897.53","1,913.04","1,885.18","1.18B","-0.64%"
"2025-4-23","1,900.13","1,899.90","1,915.20","1,885.64","1.39B","1.37%"
"2025-4-22","1,874.39","1,879.52","1,885.75","1,868.27","1.14B","-0.83%"
"2025-4-21","1,890.03","1,857.25","1,893.54","1,848.04","1.08B","1.64%"
"2025-4-18","1,859.50","1,846.76","1,862.82","1,842.65","943.70M","0.51%"
"2025-4-17","1,850.05","1,834.71","1,863.87","1,834.21","856.27M","0.08%"
"2025-4-16","1,848.51","1,859.11","1,859.98","1,821.88","1.11B","-1.27%"
"2025-4-15","1,872.33","1,874.41","1,881.91","1,861.08","1.05B","-0.01%"
"2025-4-14","1,872.52","1,896.17","1,898.07","1,867.36","1.42B","0.31%"
"2025-4-11","1,866.71","1,822.50","1,883.24","1,821.69","1.62B","1.55%"
"2025-4-10","1,838.23","1,867.36","1,886.22","1,834.92","2.17B","2.45%"
"2025-4-9","1,794.35","1,746.03","1,812.52","1,720.81","2.37B","0.64%"
"2025-4-8","1,782.99","1,790.61","1,827.59","1,756.08","2.27B","1.36%"
"2025-4-7","1,759.13","1,879.04","1,889.59","1,708.98","3.08B","-13.30%"
"2025-4-3","2,029.08","2,045.93","2,064.10","2,021.85","1.29B","-2.17%"
"2025-4-2","2,074.17","2,073.04","2,092.59","2,066.08","962.90M","0.20%"
"2025-4-1","2,070.10","2,082.94","2,098.91","2,069.13","1.33B","-0.37%"
"2025-3-31","2,077.69","2,093.90","2,098.17","2,062.05","1.18B","-1.23%"
"2025-3-28","2,103.56","2,113.21","2,126.10","2,103.56","1.02B","-0.78%"
"2025-3-27","2,120.16","2,106.47","2,140.94","2,094.04","1.13B","0.17%"
"2025-3-26","2,116.58","2,122.02","2,138.46","2,116.58","951.81M","-0.35%"
"2025-3-25","2,123.94","2,134.66","2,146.06","2,115.97","1.20B","-0.38%"
"2025-3-24","2,132.12","2,131.56","2,138.69","2,106.07","1.35B","0.13%"
"2025-3-21","2,129.29","2,173.88","2,181.45","2,127.24","1.54B","-2.33%"
"2025-3-20","2,180.10","2,204.04","2,204.79","2,178.39","1.25B","-1.18%"
"2025-3-19","2,206.06","2,200.27","2,221.86","2,187.71","1.59B","-0.06%"
"2025-3-18","2,207.39","2,201.78","2,218.69","2,190.18","1.69B","0.77%"
"2025-3-17","2,190.60","2,207.94","2,212.04","2,186.74","1.80B","-0.61%"
"2025-3-14","2,204.12","2,135.65","2,213.85","2,131.54","2.71B","3.22%"
"2025-3-13","2,135.28","2,160.53","2,174.35","2,125.88","1.58B","-1.21%"
"2025-3-12","2,161.45","2,177.53","2,184.50","2,158.32","1.76B","-0.38%"
"2025-3-11","2,169.73","2,139.63","2,169.73","2,138.86","1.38B","0.13%"
"2025-3-10","2,166.83","2,177.66","2,184.44","2,147.64","1.47B","-0.33%"
"2025-3-7","2,174.06","2,190.69","2,195.65","2,164.95","1.94B","-1.41%"
"2025-3-6","2,205.12","2,177.97","2,213.63","2,174.11","2.43B","1.95%"
"2025-3-5","2,162.88","2,162.07","2,173.92","2,148.62","1.61B","0.05%"
"2025-3-4","2,161.76","2,149.73","2,165.85","2,137.01","1.58B","-0.79%"
"2025-3-3","2,178.94","2,158.81","2,215.81","2,139.32","2.08B","1.26%"
"2025-2-28","2,151.85","2,220.22","2,222.84","2,145.77","2.36B","-3.96%"
"2025-2-27","2,240.61","2,252.62","2,265.28","2,209.42","2.63B","-0.49%"
"2025-2-26","2,251.65","2,229.51","2,252.12","2,214.64","2.48B","1.35%"
"2025-2-25","2,221.68","2,209.17","2,248.58","2,207.44","2.21B","-1.23%"
"2025-2-24","2,249.29","2,258.13","2,266.39","2,228.01","2.72B","-0.77%"
"2025-2-21","2,266.65","2,212.65","2,270.99","2,212.65","3.19B","2.54%"
"2025-2-20","2,210.53","2,211.67","2,218.99","2,188.35","2.00B","-0.27%"
"2025-2-19","2,216.63","2,168.56","2,218.17","2,167.93","2.10B","1.79%"
"2025-2-18","2,177.54","2,219.44","2,228.14","2,169.32","2.54B","-1.85%"
"2025-2-17","2,218.61","2,225.66","2,231.44","2,200.49","2.74B","0.91%"
"2025-2-14","2,198.67","2,162.53","2,209.31","2,162.32","2.48B","1.53%"
"2025-2-13","2,165.62","2,178.05","2,194.22","2,164.88","2.39B","-0.90%"
"2025-2-12","2,185.28","2,139.35","2,188.56","2,135.45","2.39B","1.64%"
"2025-2-11","2,150.10","2,183.31","2,183.31","2,148.19","2.29B","-1.56%"
"2025-2-10","2,184.17","2,188.83","2,189.34","2,159.86","2.76B","0.25%"
"2025-2-7","2,178.68","2,127.57","2,206.20","2,122.87","3.72B","2.81%"
"2025-2-6","2,119.16","2,057.06","2,119.26","2,053.06","2.76B","2.88%"
"2025-2-5","2,059.77","2,087.96","2,087.96","2,051.57","2.29B","-0.61%"
"2025-1-27","2,072.44","2,134.55","2,138.30","2,072.44","1.77B","-3.11%"
"2025-1-24","2,139.03","2,098.07","2,150.87","2,098.07","2.05B","1.52%"
"2025-1-23","2,107.08","2,141.45","2,170.52","2,107.08","2.30B","-0.39%"
"2025-1-22","2,115.38","2,118.75","2,127.08","2,093.68","1.54B","-0.50%"
"2025-1-21","2,125.96","2,142.19","2,142.19","2,103.94","1.50B","0.33%"
"2025-1-20","2,118.87","2,099.40","2,132.42","2,099.20","1.65B","2.21%"
"2025-1-17","2,073.15","2,049.80","2,089.96","2,049.65","1.52B","0.59%"
"2025-1-16","2,061.06","2,057.38","2,092.21","2,037.03","1.78B","0.86%"
"2025-1-15","2,043.43","2,071.35","2,071.35","2,037.99","1.69B","-1.96%"
"2025-1-14","2,084.28","1,991.75","2,085.12","1,980.77","2.52B","5.05%"
"2025-1-13","1,984.15","1,956.26","2,001.37","1,956.26","1.19B","0.27%"
"2025-1-10","1,978.89","2,010.92","2,026.97","1,978.89","1.41B","-1.82%"
"2025-1-9","2,015.66","1,996.71","2,031.10","1,996.57","1.27B","0.19%"
"2025-1-8","2,011.92","2,016.22","2,033.60","1,969.47","1.73B","-1.19%"
"2025-1-7","2,036.06","1,999.56","2,036.59","1,990.19","1.43B","0.59%"
"2025-1-6","2,024.14","2,027.71","2,043.20","2,011.20","1.35B","-0.10%"
"2025-1-3","2,026.21","2,071.88","2,076.94","2,026.21","1.82B","-2.13%"
"2025-1-2","2,070.28","2,148.36","2,148.80","2,049.69","2.28B","-3.85%"
"2024-12-31","2,153.18","2,215.28","2,221.97","2,153.18","2.04B","-3.07%"
"2024-12-30","2,221.46","2,210.94","2,232.33","2,210.94","1.81B","0.18%"
"2024-12-27","2,217.46","2,223.01","2,248.44","2,206.53","2.01B","-0.29%"
"2024-12-26","2,223.83","2,216.13","2,233.63","2,205.57","1.48B","0.29%"
"2024-12-25","2,217.50","2,229.78","2,235.07","2,204.00","1.44B","-0.43%"
"2024-12-24","2,227.17","2,203.78","2,228.93","2,199.81","1.56B","1.13%"
"2024-12-23","2,202.27","2,212.28","2,235.95","2,198.84","1.72B","-0.69%"
"2024-12-20","2,217.63","2,220.73","2,243.33","2,210.88","1.83B","-0.30%"
"2024-12-19","2,224.24","2,188.58","2,231.93","2,185.52","1.78B","0.50%"
"2024-12-18","2,213.07","2,220.97","2,227.24","2,204.44","1.46B","-0.09%"
"2024-12-17","2,215.04","2,203.52","2,248.91","2,203.52","1.67B","0.32%"
"2024-12-16","2,208.01","2,237.96","2,239.57","2,198.99","1.99B","-1.47%"
"2024-12-13","2,241.03","2,283.07","2,288.22","2,239.90","2.91B","-2.81%"
"2024-12-12","2,305.89","2,265.44","2,317.95","2,265.37","2.12B","1.51%"
"2024-12-11","2,271.66","2,275.52","2,295.64","2,261.68","2.04B","-0.25%"
"2024-12-10","2,277.42","2,380.62","2,380.77","2,271.17","3.32B","0.56%"
"2024-12-9","2,264.69","2,278.61","2,287.18","2,244.04","1.95B","-0.70%"
"2024-12-6","2,280.65","2,228.76","2,306.26","2,224.18","2.49B","2.26%"
"2024-12-5","2,230.26","2,216.34","2,247.89","2,216.34","1.78B","0.40%"
"2024-12-4","2,221.45","2,241.00","2,250.61","2,212.44","1.83B","-1.32%"
"2024-12-3","2,251.21","2,260.36","2,268.42","2,228.85","2.08B","-0.58%"
